test,N,M,C,total_cost_HiGHS_LP,total_cost_LSG,millis_HiGHS_LP,millis_LSG
from_F1001.txt_M75_N50_C25.txt,50,75,25,1031,1031,2.671,0.497
from_F1002.txt_M75_N50_C25.txt,50,75,25,1162,1162,3.395,0.544
from_F1003.txt_M75_N50_C25.txt,50,75,25,1178,1178,2.792,0.504
from_F1004.txt_M75_N50_C25.txt,50,75,25,1294,1294,2.934,0.58
from_F1005.txt_M75_N50_C25.txt,50,75,25,1174,1174,2.897,0.494
from_F2001.txt_M90_N60_C35.txt,60,90,35,1906,1906,3.995,1.097
from_F2002.txt_M90_N60_C35.txt,60,90,35,1822,1822,4.659,1.846
from_F2003.txt_M90_N60_C35.txt,60,90,35,1855,1855,4.101,1.428
from_F2004.txt_M90_N60_C35.txt,60,90,35,1459,1459,4.253,1.167
from_F2005.txt_M90_N60_C35.txt,60,90,35,1775,1775,4.015,1.219
from_F21001.txt_M75_N50_C30.txt,50,75,30,797,797,2.084,0.652
from_F21002.txt_M75_N50_C30.txt,50,75,30,968,968,2.201,0.766
from_F21003.txt_M75_N50_C30.txt,50,75,30,882,882,2.282,0.639
from_F21004.txt_M75_N50_C30.txt,50,75,30,959,959,2.504,0.705
from_F21005.txt_M75_N50_C30.txt,50,75,30,892,892,2.482,0.618
from_F22001.txt_M90_N60_C40.txt,60,90,40,1462,1462,3.397,1.281
from_F22002.txt_M90_N60_C40.txt,60,90,40,1466,1466,3.662,1.459
from_F22003.txt_M90_N60_C40.txt,60,90,40,1418,1418,3.476,1.454
from_F22004.txt_M90_N60_C40.txt,60,90,40,1296,1296,3.555,1.453
from_F22005.txt_M90_N60_C40.txt,60,90,40,1311,1311,3.437,1.296
from_F23001.txt_M105_N70_C45.txt,70,105,45,2064,2064,4.958,2.175
from_F23002.txt_M105_N70_C45.txt,70,105,45,1980,1980,4.698,2.061
from_F23003.txt_M105_N70_C45.txt,70,105,45,2009,2009,4.792,2.239
from_F23004.txt_M105_N70_C45.txt,70,105,45,1801,1801,4.508,1.865
from_F23005.txt_M105_N70_C45.txt,70,105,45,1913,1913,4.661,1.856
from_F3001.txt_M105_N70_C40.txt,70,105,40,2663,2663,5.867,1.855
from_F3002.txt_M105_N70_C40.txt,70,105,40,2347,2347,4.833,1.764
from_F3003.txt_M105_N70_C40.txt,70,105,40,2375,2375,6.199,1.782
from_F3004.txt_M105_N70_C40.txt,70,105,40,2395,2395,5.481,1.715
from_F3005.txt_M105_N70_C40.txt,70,105,40,2454,2454,5.769,1.757
from_F31001.txt_M75_N50_C35.txt,50,75,35,681,681,2.36,0.736
from_F31002.txt_M75_N50_C35.txt,50,75,35,682,682,2.27,0.835
from_F31003.txt_M75_N50_C35.txt,50,75,35,820,820,2.277,0.732
from_F31004.txt_M75_N50_C35.txt,50,75,35,805,805,2.335,0.741
from_F31005.txt_M75_N50_C35.txt,50,75,35,763,763,2.551,0.721
from_F32001.txt_M90_N60_C45.txt,60,90,45,1157,1157,3.832,1.401
from_F32002.txt_M90_N60_C45.txt,60,90,45,1264,1264,3.454,1.474
from_F32003.txt_M90_N60_C45.txt,60,90,45,1173,1173,3.414,1.42
from_F32004.txt_M90_N60_C45.txt,60,90,45,1112,1112,3.552,1.386
from_F32005.txt_M90_N60_C45.txt,60,90,45,1335,1335,3.519,1.389
from_F33001.txt_M105_N70_C50.txt,70,105,50,1840,1840,5.088,2.178
from_F33002.txt_M105_N70_C50.txt,70,105,50,1681,1681,4.68,2.183
from_F33003.txt_M105_N70_C50.txt,70,105,50,1969,1969,4.666,2.231
from_F33004.txt_M105_N70_C50.txt,70,105,50,1476,1476,4.85,2.06
from_F33005.txt_M105_N70_C50.txt,70,105,50,1614,1614,4.705,2.204
from_F41001.txt_M75_N50_C40.txt,50,75,40,564,564,2.175,0.775
from_F41002.txt_M75_N50_C40.txt,50,75,40,662,662,2.214,0.809
from_F41003.txt_M75_N50_C40.txt,50,75,40,621,621,2.377,0.784
from_F41004.txt_M75_N50_C40.txt,50,75,40,627,627,2.582,0.842
from_F41005.txt_M75_N50_C40.txt,50,75,40,660,660,2.331,0.792
from_F42001.txt_M90_N60_C50.txt,60,90,50,953,953,3.497,1.651
from_F42002.txt_M90_N60_C50.txt,60,90,50,1029,1029,3.762,1.686
from_F42003.txt_M90_N60_C50.txt,60,90,50,914,914,3.643,1.6
from_F42004.txt_M90_N60_C50.txt,60,90,50,880,880,3.419,1.488
from_F42005.txt_M90_N60_C50.txt,60,90,50,920,920,3.447,1.657
from_F43001.txt_M105_N70_C55.txt,70,105,55,1463,1463,4.929,2.483
from_F43002.txt_M105_N70_C55.txt,70,105,55,1352,1352,4.567,2.307
from_F43003.txt_M105_N70_C55.txt,70,105,55,1515,1515,4.934,2.552
from_F43004.txt_M105_N70_C55.txt,70,105,55,1272,1272,4.553,2.293
from_F43005.txt_M105_N70_C55.txt,70,105,55,1319,1319,4.741,2.422
from_dat2A10_M10_N10_C5.txt,10,10,5,60,60,0.218,0.009
from_dat2A1_M10_N10_C5.txt,10,10,5,32,32,0.126,0.007
from_dat2A2_M10_N10_C5.txt,10,10,5,38,38,0.22,0.006
from_dat2A3_M10_N10_C5.txt,10,10,5,65,65,0.287,0.006
from_dat2A4_M10_N10_C5.txt,10,10,5,58,58,0.216,0.006
from_dat2A5_M10_N10_C5.txt,10,10,5,38,38,0.133,0.005
from_dat2A6_M10_N10_C5.txt,10,10,5,52,52,0.262,0.006
from_dat2A7_M10_N10_C5.txt,10,10,5,34,34,0.257,0.005
from_dat2A8_M10_N10_C5.txt,10,10,5,30,30,0.246,0.005
from_dat2A9_M10_N10_C5.txt,10,10,5,41,41,0.216,0.005
from_dat2B10_M20_N15_C8.txt,15,20,8,91,91,0.276,0.015
from_dat2B1_M20_N15_C8.txt,15,20,8,76,76,0.272,0.012
from_dat2B2_M20_N15_C8.txt,15,20,8,87,87,0.315,0.014
from_dat2B3_M20_N15_C8.txt,15,20,8,104,104,0.334,0.016
from_dat2B4_M20_N15_C8.txt,15,20,8,90,90,0.306,0.016
from_dat2B5_M20_N15_C8.txt,15,20,8,103,103,0.279,0.014
from_dat2B6_M20_N15_C8.txt,15,20,8,104,104,0.27,0.015
from_dat2B7_M20_N15_C8.txt,15,20,8,52,52,0.251,0.012
