test,N,M,C,total_cost_KTNS,total_cost_LSG,millis_KTNS,millis_LSG
rand_M1002_N159_C12_id000.txt,159,1002,12,989,1019,1.262,0.567
rand_M1011_N160_C12_id000.txt,160,1011,12,1088,1122,1.151,0.628
rand_M1021_N161_C12_id000.txt,161,1021,12,1004,1047,1.225,0.577
rand_M1030_N162_C12_id000.txt,162,1030,12,1131,1168,1.472,0.648
rand_M103_N35_C5_id000.txt,35,103,5,96,100,0.017,0.031
rand_M1040_N163_C12_id000.txt,163,1040,12,982,1016,1.441,0.585
rand_M1050_N164_C12_id000.txt,164,1050,12,1030,1062,1.348,0.635
rand_M1059_N165_C12_id000.txt,165,1059,12,992,1025,2.501,0.607
rand_M1069_N166_C12_id000.txt,166,1069,12,1058,1092,1.539,0.658
rand_M1079_N167_C12_id000.txt,167,1079,12,1020,1065,1.972,0.65
rand_M1088_N168_C12_id000.txt,168,1088,12,1040,1071,1.721,0.609
rand_M108_N36_C6_id000.txt,36,108,6,105,115,0.021,0.034
rand_M1098_N169_C13_id000.txt,169,1098,13,1188,1229,2.126,0.796
rand_M1108_N170_C13_id000.txt,170,1108,13,1077,1133,1.718,0.708
rand_M1118_N171_C13_id000.txt,171,1118,13,1164,1199,2.217,0.761
rand_M1127_N172_C13_id000.txt,172,1127,13,1045,1089,5.145,0.674
rand_M112_N37_C6_id000.txt,37,112,6,86,96,0.03,0.032
rand_M1137_N173_C13_id000.txt,173,1137,13,1306,1351,2.499,0.847
rand_M1147_N174_C13_id000.txt,174,1147,13,1206,1239,4.074,0.729
rand_M1157_N175_C13_id000.txt,175,1157,13,1224,1256,2.545,0.808
rand_M1167_N176_C13_id000.txt,176,1167,13,1154,1196,1.83,0.739
rand_M1177_N177_C13_id000.txt,177,1177,13,1143,1182,1.543,0.753
rand_M117_N38_C6_id000.txt,38,117,6,121,132,0.025,0.036
rand_M1187_N178_C13_id000.txt,178,1187,13,1134,1182,1.347,0.782
rand_M1197_N179_C13_id000.txt,179,1197,13,1190,1236,1.299,0.868
rand_M1207_N180_C13_id000.txt,180,1207,13,1177,1225,1.57,0.83
rand_M1217_N181_C13_id000.txt,181,1217,13,1238,1287,1.821,0.835
rand_M121_N39_C6_id000.txt,39,121,6,128,136,0.253,0.037
rand_M1227_N182_C13_id000.txt,182,1227,13,1266,1307,1.947,0.77
rand_M1237_N183_C13_id000.txt,183,1237,13,1256,1301,1.841,0.813
rand_M1247_N184_C13_id000.txt,184,1247,13,1141,1180,1.352,0.678
rand_M1258_N185_C13_id000.txt,185,1258,13,1221,1270,1.422,0.736
rand_M1268_N186_C13_id000.txt,186,1268,13,1239,1282,1.706,0.749
rand_M126_N40_C6_id000.txt,40,126,6,124,133,0.04,0.038
rand_M1278_N187_C13_id000.txt,187,1278,13,1224,1265,1.808,0.701
rand_M1288_N188_C13_id000.txt,188,1288,13,1293,1326,1.925,0.816
rand_M1299_N189_C13_id000.txt,189,1299,13,1233,1279,1.818,0.807
rand_M1309_N190_C13_id000.txt,190,1309,13,1332,1372,1.924,0.972
rand_M1319_N191_C13_id000.txt,191,1319,13,1346,1396,2.004,0.941
rand_M131_N41_C6_id000.txt,41,131,6,131,140,0.037,0.041
rand_M1330_N192_C13_id000.txt,192,1330,13,1320,1359,1.977,0.895
rand_M1340_N193_C13_id000.txt,193,1340,13,1278,1309,2.194,0.863
rand_M1351_N194_C13_id000.txt,194,1351,13,1351,1383,2.339,0.924
rand_M1361_N195_C13_id000.txt,195,1361,13,1204,1241,1.802,0.801
rand_M136_N42_C6_id000.txt,42,136,6,130,144,0.031,0.044
rand_M1372_N196_C14_id000.txt,196,1372,14,1430,1477,1.979,1.086
rand_M1382_N197_C14_id000.txt,197,1382,14,1454,1498,1.929,1.012
rand_M1393_N198_C14_id000.txt,198,1393,14,1435,1489,2.119,1.022
rand_M1403_N199_C14_id000.txt,199,1403,14,1412,1464,2.246,0.906
rand_M140_N43_C6_id000.txt,43,140,6,147,162,0.054,0.046
rand_M1414_N200_C14_id000.txt,200,1414,14,1441,1488,2.533,0.998
rand_M1424_N201_C14_id000.txt,201,1424,14,1422,1468,2.087,0.998
rand_M1435_N202_C14_id000.txt,202,1435,14,1509,1554,2.08,1.062
rand_M1446_N203_C14_id000.txt,203,1446,14,1531,1575,2.411,1.024
rand_M1456_N204_C14_id000.txt,204,1456,14,1531,1576,2.175,1.066
rand_M145_N44_C6_id000.txt,44,145,6,125,138,0.035,0.043
rand_M1467_N205_C14_id000.txt,205,1467,14,1390,1431,2.092,0.935
rand_M1478_N206_C14_id000.txt,206,1478,14,1608,1645,2.458,1.11
rand_M1489_N207_C14_id000.txt,207,1489,14,1457,1495,1.918,0.887
rand_M1499_N208_C14_id000.txt,208,1499,14,1459,1499,1.873,0.933
rand_M150_N45_C6_id000.txt,45,150,6,150,160,0.036,0.042
rand_M1510_N209_C14_id000.txt,209,1510,14,1607,1655,2.065,1.036
rand_M1521_N210_C14_id000.txt,210,1521,14,1502,1541,2.271,0.911
rand_M1532_N211_C14_id000.txt,211,1532,14,1623,1662,2.362,1.115
rand_M1543_N212_C14_id000.txt,212,1543,14,1569,1610,2.222,1.037
rand_M1554_N213_C14_id000.txt,213,1554,14,1697,1756,2.097,1.251
rand_M155_N46_C6_id000.txt,46,155,6,135,144,0.035,0.045
rand_M1565_N214_C14_id000.txt,214,1565,14,1555,1591,2.164,1.047
rand_M1576_N215_C14_id000.txt,215,1576,14,1515,1568,2.716,1.038
rand_M1587_N216_C14_id000.txt,216,1587,14,1504,1553,3.216,0.98
rand_M1598_N217_C14_id000.txt,217,1598,14,1595,1642,3.694,0.992
rand_M15_N10_C3_id000.txt,10,15,3,10,14,0.001,0.006
rand_M1609_N218_C14_id000.txt,218,1609,14,1605,1653,2.724,1.024
rand_M161_N47_C6_id000.txt,47,161,6,135,149,0.037,0.043
rand_M1620_N219_C14_id000.txt,219,1620,14,1584,1633,3.357,0.985
rand_M1631_N220_C14_id000.txt,220,1631,14,1553,1600,3.146,1.01
rand_M1642_N221_C14_id000.txt,221,1642,14,1603,1652,4.492,1.027
rand_M1653_N222_C14_id000.txt,222,1653,14,1655,1703,3.022,1.159
rand_M1665_N223_C14_id000.txt,223,1665,14,1621,1667,3.134,1.102
rand_M166_N48_C6_id000.txt,48,166,6,179,186,0.044,0.056
