test,N,M,C,total_cost_LSG,total_cost_Privault-Finke,millis_LSG,millis_Privault-Finke,,
rand_M1002_N159_C12_id000.txt,159,1002,12,966,927,0.574,164.066,,
rand_M1011_N160_C12_id000.txt,160,1011,12,1078,1054,0.66,212.287,,
rand_M1021_N161_C12_id000.txt,161,1021,12,1008,971,0.627,185.485,,
rand_M1030_N162_C12_id000.txt,162,1030,12,1059,1022,0.638,207.486,,
rand_M103_N35_C5_id000.txt,35,103,5,85,74,0.046,0.934,,
rand_M1040_N163_C12_id000.txt,163,1040,12,968,942,0.575,196.831,,
rand_M1050_N164_C12_id000.txt,164,1050,12,1069,1030,0.645,236.773,,
rand_M1059_N165_C12_id000.txt,165,1059,12,1080,1046,0.705,226.1,,
rand_M1069_N166_C12_id000.txt,166,1069,12,1137,1102,0.662,340.21,,
rand_M1079_N167_C12_id000.txt,167,1079,12,1008,970,0.589,181.059,,
rand_M1088_N168_C12_id000.txt,168,1088,12,1042,1009,0.606,209.466,,
rand_M108_N36_C6_id000.txt,36,108,6,105,100,0.06,2.852,,
rand_M1098_N169_C13_id000.txt,169,1098,13,1176,1137,0.773,296.963,,
rand_M1108_N170_C13_id000.txt,170,1108,13,1278,1237,0.865,331.542,,
rand_M1118_N171_C13_id000.txt,171,1118,13,1254,1216,0.799,373.824,,
rand_M1127_N172_C13_id000.txt,172,1127,13,1230,1203,0.816,302.528,,
rand_M112_N37_C6_id000.txt,37,112,6,117,111,0.064,1.575,,
rand_M1137_N173_C13_id000.txt,173,1137,13,1168,1126,0.707,227.065,,
rand_M1147_N174_C13_id000.txt,174,1147,13,1151,1111,0.72,214.626,,
rand_M1157_N175_C13_id000.txt,175,1157,13,1225,1186,0.879,297.532,,
rand_M1167_N176_C13_id000.txt,176,1167,13,1345,1303,0.853,413.247,,
rand_M1177_N177_C13_id000.txt,177,1177,13,1268,1221,0.793,412.925,,
rand_M117_N38_C6_id000.txt,38,117,6,127,124,0.063,1.891,,
rand_M1187_N178_C13_id000.txt,178,1187,13,1209,1167,0.813,324.368,,
rand_M1197_N179_C13_id000.txt,179,1197,13,1295,1265,0.791,321.389,,
rand_M1207_N180_C13_id000.txt,180,1207,13,1241,1203,0.776,257.584,,
rand_M1217_N181_C13_id000.txt,181,1217,13,1308,1266,0.879,291.977,,
rand_M121_N39_C6_id000.txt,39,121,6,133,124,0.067,2.001,,
rand_M1227_N182_C13_id000.txt,182,1227,13,1147,1104,0.738,209.165,,
rand_M1237_N183_C13_id000.txt,183,1237,13,1236,1200,0.781,269.535,,
rand_M1247_N184_C13_id000.txt,184,1247,13,1344,1308,0.839,408.71,,
rand_M1258_N185_C13_id000.txt,185,1258,13,1193,1154,0.731,307.009,,
rand_M1268_N186_C13_id000.txt,186,1268,13,1351,1323,0.873,317.055,,
rand_M126_N40_C6_id000.txt,40,126,6,146,133,0.075,2.536,,
rand_M1278_N187_C13_id000.txt,187,1278,13,1284,1247,0.818,276.258,,
rand_M1288_N188_C13_id000.txt,188,1288,13,1388,1361,0.855,340.672,,
rand_M1299_N189_C13_id000.txt,189,1299,13,1314,1284,0.901,364.619,,
rand_M1309_N190_C13_id000.txt,190,1309,13,1373,1329,0.876,420.833,,
rand_M1319_N191_C13_id000.txt,191,1319,13,1395,1356,0.88,467.872,,
rand_M131_N41_C6_id000.txt,41,131,6,154,145,0.083,2.612,,
rand_M1330_N192_C13_id000.txt,192,1330,13,1267,1222,0.771,272.165,,
rand_M1340_N193_C13_id000.txt,193,1340,13,1316,1272,0.854,313.188,,
rand_M1351_N194_C13_id000.txt,194,1351,13,1403,1366,0.952,353.452,,
rand_M1361_N195_C13_id000.txt,195,1361,13,1431,1382,0.893,359.143,,
rand_M136_N42_C6_id000.txt,42,136,6,143,132,0.071,2.914,,
rand_M1372_N196_C14_id000.txt,196,1372,14,1455,1404,0.984,378.917,,
rand_M1382_N197_C14_id000.txt,197,1382,14,1422,1372,1.002,421.249,,
rand_M1393_N198_C14_id000.txt,198,1393,14,1426,1399,0.944,369.17,,
rand_M1403_N199_C14_id000.txt,199,1403,14,1393,1352,0.883,329.133,,
rand_M140_N43_C6_id000.txt,43,140,6,131,124,0.069,1.81,,
rand_M1414_N200_C14_id000.txt,200,1414,14,1512,1469,0.976,484.299,,
rand_M1424_N201_C14_id000.txt,201,1424,14,1472,1433,0.928,422.386,,
rand_M1435_N202_C14_id000.txt,202,1435,14,1570,1519,1.113,478.188,,
rand_M1446_N203_C14_id000.txt,203,1446,14,1475,1427,1.003,414.042,,
rand_M1456_N204_C14_id000.txt,204,1456,14,1583,1538,1.143,505.46,,
rand_M145_N44_C6_id000.txt,44,145,6,151,143,0.075,2.47,,
rand_M1467_N205_C14_id000.txt,205,1467,14,1425,1381,0.927,399.433,,
rand_M1478_N206_C14_id000.txt,206,1478,14,1485,1440,0.986,409.437,,
rand_M1489_N207_C14_id000.txt,207,1489,14,1435,1390,0.922,354.529,,
rand_M1499_N208_C14_id000.txt,208,1499,14,1604,1547,1.144,449.015,,
rand_M150_N45_C6_id000.txt,45,150,6,140,129,0.072,2.136,,
rand_M1510_N209_C14_id000.txt,209,1510,14,1619,1585,1.043,487.396,,
rand_M1521_N210_C14_id000.txt,210,1521,14,1577,1522,1.039,419.326,,
rand_M1532_N211_C14_id000.txt,211,1532,14,1465,1415,0.928,428.73,,
rand_M1543_N212_C14_id000.txt,212,1543,14,1559,1507,1.097,425.174,,
rand_M1554_N213_C14_id000.txt,213,1554,14,1604,1562,1.043,469.266,,
rand_M155_N46_C6_id000.txt,46,155,6,151,138,0.075,2.508,,
rand_M1565_N214_C14_id000.txt,214,1565,14,1659,1609,1.212,603.089,,
rand_M1576_N215_C14_id000.txt,215,1576,14,1595,1560,1.055,430.391,,
rand_M1587_N216_C14_id000.txt,216,1587,14,1627,1572,1.096,455.918,,
rand_M1598_N217_C14_id000.txt,217,1598,14,1544,1510,0.988,410.118,,
rand_M15_N10_C3_id000.txt,10,15,3,19,18,0.015,0.095,,
rand_M1609_N218_C14_id000.txt,218,1609,14,1654,1611,1.091,477.905,,
rand_M161_N47_C6_id000.txt,47,161,6,162,153,0.076,2.782,,
rand_M1620_N219_C14_id000.txt,219,1620,14,1591,1528,1.024,439.559,,
rand_M1631_N220_C14_id000.txt,220,1631,14,1739,1696,1.148,734.924,,
rand_M1642_N221_C14_id000.txt,221,1642,14,1648,1605,1.099,566.275,,
rand_M1653_N222_C14_id000.txt,222,1653,14,1678,1614,1.137,791.565,,
rand_M1665_N223_C14_id000.txt,223,1665,14,1574,1512,1.027,615.61,,
rand_M166_N48_C6_id000.txt,48,166,6,184,176,0.086,3.689,,
rand_M1676_N224_C14_id000.txt,224,1676,14,1617,1572,1.022,606.773,,
rand_M1687_N225_C15_id000.txt,225,1687,15,1770,1715,1.295,593.123,,
rand_M1698_N226_C15_id000.txt,226,1698,15,1743,1677,1.229,600.842,,
rand_M1710_N227_C15_id000.txt,227,1710,15,1821,1774,1.289,723.717,,
rand_M171_N49_C7_id000.txt,49,171,7,197,182,0.102,4.371,,
rand_M1721_N228_C15_id000.txt,228,1721,15,1869,1808,1.346,641.206,,
rand_M1732_N229_C15_id000.txt,229,1732,15,1875,1831,1.34,741.313,,
rand_M1744_N230_C15_id000.txt,230,1744,15,1810,1757,1.253,701.963,,
rand_M1755_N231_C15_id000.txt,231,1755,15,1809,1744,1.277,610.207,,
rand_M1766_N232_C15_id000.txt,232,1766,15,1866,1819,1.37,610.61,,
rand_M176_N50_C7_id000.txt,50,176,7,210,202,0.111,4.644,,
rand_M1778_N233_C15_id000.txt,233,1778,15,1880,1823,1.348,739.842,,
rand_M1789_N234_C15_id000.txt,234,1789,15,1818,1768,1.271,856.576,,
rand_M1801_N235_C15_id000.txt,235,1801,15,2007,1951,1.409,889.818,,
rand_M1812_N236_C15_id000.txt,236,1812,15,1816,1764,1.27,646.485,,
rand_M1824_N237_C15_id000.txt,237,1824,15,1942,1881,1.335,1159.637,,
rand_M182_N51_C7_id000.txt,51,182,7,195,185,0.097,13.802,,
rand_M1835_N238_C15_id000.txt,238,1835,15,1828,1778,1.225,749.16,,
rand_M1847_N239_C15_id000.txt,239,1847,15,1820,1773,1.205,723.078,,
rand_M1859_N240_C15_id000.txt,240,1859,15,1938,1888,1.364,894.119,,
rand_M1870_N241_C15_id000.txt,241,1870,15,1814,1752,1.248,835.538,,
rand_M187_N52_C7_id000.txt,52,187,7,197,188,0.108,6.153,,
rand_M1882_N242_C15_id000.txt,242,1882,15,1798,1754,1.245,812.324,,
rand_M1893_N243_C15_id000.txt,243,1893,15,1837,1792,1.272,934.169,,
rand_M18_N11_C3_id000.txt,11,18,3,21,18,0.018,0.097,,
rand_M1905_N244_C15_id000.txt,244,1905,15,1920,1862,1.351,777.775,,
rand_M1917_N245_C15_id000.txt,245,1917,15,1933,1866,1.355,756.841,,
rand_M1929_N246_C15_id000.txt,246,1929,15,2054,2000,1.413,994.173,,
rand_M192_N53_C7_id000.txt,53,192,7,216,203,0.113,7.071,,
rand_M1940_N247_C15_id000.txt,247,1940,15,1914,1863,1.319,790.337,,
