test,N,M,C,total_cost_Crama's LP,total_cost_LSG,millis_Crama's LP,millis_LSG,,
from_1datA10_M10_N10_C5.txt,10,10,5,52,71,0.569,0.008,,
from_1datA1_M10_N10_C5.txt,10,10,5,36,49,0.15,0.007,,
from_1datA2_M10_N10_C5.txt,10,10,5,37,66,0.241,0.008,,
from_1datA3_M10_N10_C5.txt,10,10,5,29,49,0.214,0.007,,
from_1datA4_M10_N10_C5.txt,10,10,5,36,51,0.232,0.007,,
from_1datA5_M10_N10_C5.txt,10,10,5,48,72,0.207,0.007,,
from_1datA6_M10_N10_C5.txt,10,10,5,42,61,0.21,0.007,,
from_1datA7_M10_N10_C5.txt,10,10,5,35,57,0.216,0.007,,
from_1datA8_M10_N10_C5.txt,10,10,5,33,51,0.213,0.007,,
from_1datA9_M10_N10_C5.txt,10,10,5,37,60,0.243,0.007,,
from_1datB10_M20_N15_C8.txt,15,20,8,81,123,0.291,0.017,,
from_1datB1_M20_N15_C8.txt,15,20,8,70,104,0.325,0.014,,
from_1datB2_M20_N15_C8.txt,15,20,8,83,145,0.33,0.017,,
from_1datB3_M20_N15_C8.txt,15,20,8,90,155,0.363,0.017,,
from_1datB4_M20_N15_C8.txt,15,20,8,94,154,0.381,0.017,,
from_1datB5_M20_N15_C8.txt,15,20,8,75,128,0.573,0.016,,
from_1datB6_M20_N15_C8.txt,15,20,8,112,185,0.489,0.017,,
from_1datB7_M20_N15_C8.txt,15,20,8,61,114,0.284,0.014,,
from_1datB8_M20_N15_C8.txt,15,20,8,77,126,0.454,0.018,,
from_1datB9_M20_N15_C8.txt,15,20,8,104,182,0.755,0.017,,
from_1datC10_M40_N30_C17.txt,30,40,17,359,686,0.829,0.118,,
from_1datC1_M40_N30_C17.txt,30,40,17,370,646,0.901,0.114,,
from_1datC2_M40_N30_C17.txt,30,40,17,360,669,0.736,0.125,,
from_1datC3_M40_N30_C17.txt,30,40,17,309,594,0.735,0.114,,
from_1datC4_M40_N30_C17.txt,30,40,17,302,581,1.015,0.119,,
from_1datC5_M40_N30_C17.txt,30,40,17,286,590,0.831,0.109,,
from_1datC6_M40_N30_C17.txt,30,40,17,422,788,0.839,0.118,,
from_1datC7_M40_N30_C17.txt,30,40,17,363,669,1.019,0.122,,
from_1datC8_M40_N30_C17.txt,30,40,17,332,622,0.857,0.115,,
from_1datC9_M40_N30_C17.txt,30,40,17,314,590,0.873,0.112,,
from_1datD10_M60_N40_C22.txt,40,60,22,739,1275,1.505,0.307,,
from_1datD1_M60_N40_C22.txt,40,60,22,702,1272,1.385,0.3,,
from_1datD2_M60_N40_C22.txt,40,60,22,696,1309,1.712,0.286,,
from_1datD3_M60_N40_C22.txt,40,60,22,651,1133,1.816,0.299,,
from_1datD4_M60_N40_C22.txt,40,60,22,629,1099,1.447,0.32,,
from_1datD5_M60_N40_C22.txt,40,60,22,718,1248,1.453,0.31,,
from_1datD6_M60_N40_C22.txt,40,60,22,767,1286,1.492,0.313,,
from_1datD7_M60_N40_C22.txt,40,60,22,825,1378,1.395,0.306,,
from_1datD8_M60_N40_C22.txt,40,60,22,656,1145,1.457,0.303,,
from_1datD9_M60_N40_C22.txt,40,60,22,718,1237,1.692,0.297,,
from_2F1001.txt_M75_N50_C30.txt,50,75,30,786,1725,2.581,0.623,,
from_2F1002.txt_M75_N50_C30.txt,50,75,30,1042,2098,2.466,0.719,,
from_2F1003.txt_M75_N50_C30.txt,50,75,30,851,1678,2.52,0.624,,
from_2F1004.txt_M75_N50_C30.txt,50,75,30,1096,2198,2.587,0.66,,
from_2F1005.txt_M75_N50_C30.txt,50,75,30,901,1809,2.575,0.59,,
from_2F2001.txt_M90_N60_C40.txt,60,90,40,1346,2855,3.514,1.197,,
from_2F2002.txt_M90_N60_C40.txt,60,90,40,1512,3201,4.773,1.243,,
from_2F2003.txt_M90_N60_C40.txt,60,90,40,1421,2947,4.099,1.233,,
from_2F2004.txt_M90_N60_C40.txt,60,90,40,1167,2687,3.811,1.195,,
from_2F2005.txt_M90_N60_C40.txt,60,90,40,1228,2766,3.472,1.189,,
from_2F3001.txt_M105_N70_C45.txt,70,105,45,2255,4525,4.93,1.907,,
from_2F3002.txt_M105_N70_C45.txt,70,105,45,1697,3698,5.005,1.862,,
from_2F3003.txt_M105_N70_C45.txt,70,105,45,2020,4166,4.825,1.893,,
from_2F3004.txt_M105_N70_C45.txt,70,105,45,2038,4287,4.492,1.796,,
from_2F3005.txt_M105_N70_C45.txt,70,105,45,1928,4073,4.388,1.93,,
from_2datA10_M10_N10_C6.txt,10,10,6,33,56,0.207,0.009,,
from_2datA1_M10_N10_C6.txt,10,10,6,40,56,0.207,0.008,,
from_2datA2_M10_N10_C6.txt,10,10,6,30,59,0.188,0.009,,
