test,N,M,C,total_cost_LSG,total_cost_Privault-Finke,millis_LSG,millis_Privault-Finke
from_1datA10_M10_N10_C5.txt,10,10,5,71,52,0.008,0.125
from_1datA1_M10_N10_C5.txt,10,10,5,49,36,0.007,0.142
from_1datA2_M10_N10_C5.txt,10,10,5,66,37,0.008,0.091
from_1datA3_M10_N10_C5.txt,10,10,5,49,29,0.007,0.125
from_1datA4_M10_N10_C5.txt,10,10,5,51,36,0.007,0.131
from_1datA5_M10_N10_C5.txt,10,10,5,72,48,0.007,0.137
from_1datA6_M10_N10_C5.txt,10,10,5,61,42,0.007,0.13
from_1datA7_M10_N10_C5.txt,10,10,5,57,35,0.007,0.108
from_1datA8_M10_N10_C5.txt,10,10,5,51,33,0.007,0.099
from_1datA9_M10_N10_C5.txt,10,10,5,60,37,0.007,0.149
from_1datB10_M20_N15_C8.txt,15,20,8,123,81,0.017,0.654
from_1datB1_M20_N15_C8.txt,15,20,8,104,70,0.014,0.448
from_1datB2_M20_N15_C8.txt,15,20,8,145,83,0.017,0.763
from_1datB3_M20_N15_C8.txt,15,20,8,155,90,0.017,0.766
from_1datB4_M20_N15_C8.txt,15,20,8,154,94,0.017,0.547
from_1datB5_M20_N15_C8.txt,15,20,8,128,75,0.016,0.603
from_1datB6_M20_N15_C8.txt,15,20,8,185,112,0.017,0.667
from_1datB7_M20_N15_C8.txt,15,20,8,114,61,0.014,0.652
from_1datB8_M20_N15_C8.txt,15,20,8,126,77,0.018,0.788
from_1datB9_M20_N15_C8.txt,15,20,8,182,104,0.017,0.649
from_1datC10_M40_N30_C17.txt,30,40,17,686,359,0.118,17.54
from_1datC1_M40_N30_C17.txt,30,40,17,646,370,0.114,21.299
from_1datC2_M40_N30_C17.txt,30,40,17,669,360,0.125,25.888
from_1datC3_M40_N30_C17.txt,30,40,17,594,309,0.114,15.861
from_1datC4_M40_N30_C17.txt,30,40,17,581,302,0.119,19.536
from_1datC5_M40_N30_C17.txt,30,40,17,590,286,0.109,21.792
from_1datC6_M40_N30_C17.txt,30,40,17,788,422,0.118,29.769
from_1datC7_M40_N30_C17.txt,30,40,17,669,363,0.122,18.703
from_1datC8_M40_N30_C17.txt,30,40,17,622,332,0.115,14.719
from_1datC9_M40_N30_C17.txt,30,40,17,590,314,0.112,15.104
from_1datD10_M60_N40_C22.txt,40,60,22,1275,739,0.307,76.148
from_1datD1_M60_N40_C22.txt,40,60,22,1272,702,0.3,67.89
