test,N,M,C,total_cost_LP,total_cost_LSG,total_cost_PF,millis_LP,millis_LSG,millis_PF
from_1datA10_M10_N10_C5.txt,10,10,5,52,71,52,0.553,0.008,0.114
from_1datA1_M10_N10_C5.txt,10,10,5,36,49,36,0.146,0.007,0.151
from_1datA2_M10_N10_C5.txt,10,10,5,37,66,37,0.237,0.007,0.093
from_1datA3_M10_N10_C5.txt,10,10,5,29,49,29,0.223,0.007,0.123
from_1datA4_M10_N10_C5.txt,10,10,5,36,51,36,0.261,0.007,0.115
from_1datA5_M10_N10_C5.txt,10,10,5,48,72,48,0.201,0.007,0.156
from_1datA6_M10_N10_C5.txt,10,10,5,42,61,42,0.206,0.007,0.147
from_1datA7_M10_N10_C5.txt,10,10,5,35,57,35,0.211,0.008,0.103
from_1datA8_M10_N10_C5.txt,10,10,5,33,51,33,0.212,0.008,0.093
from_1datA9_M10_N10_C5.txt,10,10,5,37,60,37,0.238,0.007,0.145
from_1datB10_M20_N15_C8.txt,15,20,8,81,123,81,0.245,0.016,0.58
from_1datB1_M20_N15_C8.txt,15,20,8,70,104,70,0.237,0.014,0.406
from_1datB2_M20_N15_C8.txt,15,20,8,83,145,83,0.263,0.017,0.745
from_1datB3_M20_N15_C8.txt,15,20,8,90,155,90,0.282,0.017,0.713
from_1datB4_M20_N15_C8.txt,15,20,8,94,154,94,0.266,0.018,0.487
from_1datB5_M20_N15_C8.txt,15,20,8,75,128,75,0.258,0.016,0.545
from_1datB6_M20_N15_C8.txt,15,20,8,112,185,112,0.31,0.018,0.619
from_1datB7_M20_N15_C8.txt,15,20,8,61,114,61,0.258,0.015,0.416
from_1datB8_M20_N15_C8.txt,15,20,8,77,126,77,0.276,0.018,0.629
from_1datB9_M20_N15_C8.txt,15,20,8,104,182,104,0.265,0.018,0.516
from_1datC10_M40_N30_C17.txt,30,40,17,359,686,359,0.76,0.128,13.584
from_1datC1_M40_N30_C17.txt,30,40,17,370,646,370,0.896,0.113,17.084
from_1datC2_M40_N30_C17.txt,30,40,17,360,669,360,0.747,0.122,20.523
from_1datC3_M40_N30_C17.txt,30,40,17,309,594,309,0.752,0.119,13.819
from_1datC4_M40_N30_C17.txt,30,40,17,302,581,302,1.063,0.121,14.723
from_1datC5_M40_N30_C17.txt,30,40,17,286,590,286,1.107,0.111,13.27
from_1datC6_M40_N30_C17.txt,30,40,17,422,788,422,0.863,0.133,15.984
from_1datC7_M40_N30_C17.txt,30,40,17,363,669,363,0.916,0.128,13.495
from_1datC8_M40_N30_C17.txt,30,40,17,332,622,332,0.77,0.117,12.733
from_1datC9_M40_N30_C17.txt,30,40,17,314,590,314,0.878,0.119,14.187
from_1datD10_M60_N40_C22.txt,40,60,22,739,1275,739,1.436,0.31,63.207
