test,N,M,C,total_cost_HiGHS_MCF,total_cost_Mecler,millis_HiGHS_MCF,millis_Mecler
rand_M10_N20_C3_id000.txt,20,10,3,41,47,600032.79,480568.461
rand_M11_N22_C3_id000.txt,22,11,3,41,45,600030.733,480678.453
rand_M12_N24_C3_id000.txt,24,12,3,39,39,600034.266,480835.6
rand_M13_N26_C3_id000.txt,26,13,3,57,60,600036.647,481276.701
rand_M14_N28_C3_id000.txt,28,14,3,71,69,600040.091,481653.323
rand_M15_N30_C3_id000.txt,30,15,3,65,58,600050.451,481947.798
rand_M16_N32_C4_id000.txt,32,16,4,130,141,600105.78,483241.565
rand_M17_N34_C4_id000.txt,34,17,4,83,82,600060.826,483506.999
rand_M18_N36_C4_id000.txt,36,18,4,82,85,600209.132,484298.883
rand_M19_N38_C4_id000.txt,38,19,4,120,98,600099.795,485302.416
rand_M20_N40_C4_id000.txt,40,20,4,248,127,3588785.881,486886.399
rand_M21_N42_C4_id000.txt,42,21,4,166,125,600304.951,488846.68
rand_M22_N44_C4_id000.txt,44,22,4,172,111,600107.648,488775.027
rand_M23_N46_C4_id000.txt,46,23,4,205,151,600113.875,488983.999
rand_M24_N48_C4_id000.txt,48,24,4,278,166,600170.422,494084.964
rand_M4_N8_C2_id000.txt,8,4,2,14,14,95.272,480014.466
rand_M5_N10_C2_id000.txt,10,5,2,19,19,324.197,480029.708
rand_M6_N12_C2_id000.txt,12,6,2,18,18,16040.859,480080.759
rand_M7_N14_C2_id000.txt,14,7,2,18,18,18149.832,480100.677
rand_M8_N16_C2_id000.txt,16,8,2,22,22,280261.038,480143.701
rand_M9_N18_C3_id000.txt,18,9,3,45,54,600019.137,480302.687
