group_id,N,M,C,test_count,avg_total_cost,avg_millis_Crama's LP,avg_millis_LSG,avg_millis_Privault-Finke
1,10,10,4,10,56.1333,0.1956,0.0065,0.104
2,10,10,5,10,45.2333,0.2495,0.0072,0.1237
3,10,10,6,10,42.1333,0.2026,0.0085,0.1312
4,10,10,7,10,44.5333,0.191,0.0087,0.1438
5,15,20,6,10,125.6333,0.2297,0.0141,0.4818
6,15,20,8,10,103.6667,0.4245,0.0164,0.6537
7,15,20,10,10,100.0,0.2466,0.0192,0.6958
8,15,20,12,10,94.3667,0.2455,0.0221,0.712
9,30,40,15,10,500.0667,0.8764,0.1112,13.51
10,30,40,17,10,442.3,0.8635,0.1166,20.0211
11,30,40,20,10,400.7333,0.7237,0.1473,16.4219
12,30,40,25,10,364.0667,0.7245,0.1799,19.4253
13,40,60,20,10,951.1,1.6696,0.3475,55.461
14,40,60,22,10,886.1333,1.5354,0.3041,71.1319
15,40,60,25,10,822.5,1.3888,0.3401,71.959
16,40,60,30,10,732.6667,1.4429,0.4093,76.8503
17,50,75,25,5,1350.8,2.7688,0.701,153.2388
18,50,75,30,5,1257.3333,2.5458,0.6432,199.8
19,50,75,35,5,1157.6667,2.2262,0.7378,204.1542
20,50,75,40,5,1014.6667,2.1916,0.9308,226.7392
21,60,90,35,5,2184.7333,4.6588,1.1888,572.7786
22,60,90,40,5,1853.6,3.9338,1.2114,662.027
23,60,90,45,5,1821.3333,3.2946,1.3894,732.5772
24,60,90,50,5,1674.3333,3.2766,1.646,728.1254
25,70,105,40,5,3038.1333,6.141,1.786,1281.3808
26,70,105,45,5,2708.3333,4.728,1.8776,1430.452
27,70,105,50,5,2408.7333,4.7258,2.116,1477.4282
28,70,105,55,5,2351.2,4.6898,2.8354,1441.6786
