test,N,M,C,total_cost,millis
from_datA10_M10_N10_C7.txt,10,10,7,10,1.228
from_datA1_M10_N10_C7.txt,10,10,7,15,1.016
from_datA2_M10_N10_C7.txt,10,10,7,8,0.815
from_datA3_M10_N10_C7.txt,10,10,7,9,0.849
from_datA4_M10_N10_C7.txt,10,10,7,10,0.902
from_datA5_M10_N10_C7.txt,10,10,7,10,1.042
from_datA6_M10_N10_C7.txt,10,10,7,15,1.022
from_datA7_M10_N10_C7.txt,10,10,7,6,0.819
from_datA8_M10_N10_C7.txt,10,10,7,10,0.784
from_datA9_M10_N10_C7.txt,10,10,7,12,0.791
from_datB10_M15_N20_C12.txt,20,15,12,15,3.275
from_datB1_M15_N20_C12.txt,20,15,12,6,2.719
from_datB2_M15_N20_C12.txt,20,15,12,8,3.639
from_datB3_M15_N20_C12.txt,20,15,12,9,3.229
from_datB4_M15_N20_C12.txt,20,15,12,4,2.352
from_datB5_M15_N20_C12.txt,20,15,12,8,2.719
from_datB6_M15_N20_C12.txt,20,15,12,11,3.165
from_datB7_M15_N20_C12.txt,20,15,12,8,2.059
from_datB8_M15_N20_C12.txt,20,15,12,12,2.653
from_datB9_M15_N20_C12.txt,20,15,12,9,1.975
from_datC10_M30_N40_C25.txt,40,30,25,34,27.542
from_datC1_M30_N40_C25.txt,40,30,25,48,25.035
from_datC2_M30_N40_C25.txt,40,30,25,29,23.466
from_datC3_M30_N40_C25.txt,40,30,25,40,18.697
from_datC4_M30_N40_C25.txt,40,30,25,35,19.371
from_datC5_M30_N40_C25.txt,40,30,25,30,18.005
from_datC6_M30_N40_C25.txt,40,30,25,27,20.344
from_datC7_M30_N40_C25.txt,40,30,25,22,19.677
from_datC8_M30_N40_C25.txt,40,30,25,33,19.430
from_datC9_M30_N40_C25.txt,40,30,25,29,20.390
from_datD10_M40_N60_C30.txt,60,40,30,92,67.228
from_datD1_M40_N60_C30.txt,60,40,30,113,70.679
from_datD2_M40_N60_C30.txt,60,40,30,86,56.548
from_datD3_M40_N60_C30.txt,60,40,30,96,63.810
from_datD4_M40_N60_C30.txt,60,40,30,105,62.028
from_datD5_M40_N60_C30.txt,60,40,30,97,60.262
from_datD6_M40_N60_C30.txt,60,40,30,125,69.338
from_datD7_M40_N60_C30.txt,60,40,30,72,62.022
from_datD8_M40_N60_C30.txt,60,40,30,86,68.415
from_datD9_M40_N60_C30.txt,60,40,30,95,70.841
