test,N,M,C,total_cost_original,total_cost_our,millis_original,millis_our
from_datA10_M10_N10_C7.txt,10,10,7,32,32,2.106,0.602
from_datA1_M10_N10_C7.txt,10,10,7,40,40,1.938,0.64
from_datA2_M10_N10_C7.txt,10,10,7,29,29,1.888,0.495
from_datA3_M10_N10_C7.txt,10,10,7,29,29,1.504,0.528
from_datA4_M10_N10_C7.txt,10,10,7,31,31,1.78,0.552
from_datA5_M10_N10_C7.txt,10,10,7,29,29,1.91,0.63
from_datA6_M10_N10_C7.txt,10,10,7,36,36,1.866,0.588
from_datA7_M10_N10_C7.txt,10,10,7,30,30,1.497,0.516
from_datA8_M10_N10_C7.txt,10,10,7,32,32,1.565,0.522
from_datA9_M10_N10_C7.txt,10,10,7,29,29,2.235,0.636
from_datB10_M15_N20_C12.txt,20,15,12,63,63,8.604,1.788
from_datB1_M15_N20_C12.txt,20,15,12,36,36,6.357,1.451
from_datB2_M15_N20_C12.txt,20,15,12,45,45,10.057,1.961
from_datB3_M15_N20_C12.txt,20,15,12,47,47,8.476,1.845
from_datB4_M15_N20_C12.txt,20,15,12,49,49,6.719,1.529
from_datB5_M15_N20_C12.txt,20,15,12,42,42,7.228,1.649
from_datB6_M15_N20_C12.txt,20,15,12,54,54,8.738,1.849
from_datB7_M15_N20_C12.txt,20,15,12,45,45,5.707,1.451
from_datB8_M15_N20_C12.txt,20,15,12,45,45,8.765,1.82
from_datB9_M15_N20_C12.txt,20,15,12,44,44,7.151,1.599
from_datC10_M30_N40_C25.txt,40,30,25,120,120,165.605,13.534
from_datC1_M30_N40_C25.txt,40,30,25,130,130,188.644,15.297
from_datC2_M30_N40_C25.txt,40,30,25,103,103,202.409,15.707
from_datC3_M30_N40_C25.txt,40,30,25,134,134,164.445,14.108
from_datC4_M30_N40_C25.txt,40,30,25,105,105,183.696,15.395
from_datC5_M30_N40_C25.txt,40,30,25,112,112,167.108,14.537
from_datC6_M30_N40_C25.txt,40,30,25,106,106,202.863,15.231
from_datC7_M30_N40_C25.txt,40,30,25,100,100,178.955,14.617
from_datC8_M30_N40_C25.txt,40,30,25,100,100,165.29,14.194
from_datC9_M30_N40_C25.txt,40,30,25,103,103,173.009,14.625
from_datD10_M40_N60_C30.txt,60,40,30,190,190,718.298,34.963
from_datD1_M40_N60_C30.txt,60,40,30,212,212,695.235,34.662
from_datD2_M40_N60_C30.txt,60,40,30,174,174,519.489,29.833
from_datD3_M40_N60_C30.txt,60,40,30,189,189,623.186,32.792
from_datD4_M40_N60_C30.txt,60,40,30,198,198,644.107,33.877
from_datD5_M40_N60_C30.txt,60,40,30,201,201,600.144,32.287
from_datD6_M40_N60_C30.txt,60,40,30,225,225,773.8,34.868
from_datD7_M40_N60_C30.txt,60,40,30,151,151,646.009,32.97
from_datD8_M40_N60_C30.txt,60,40,30,176,176,586.277,30.756
from_datD9_M40_N60_C30.txt,60,40,30,190,190,688.397,33.502
