builder,test,N,M,C,total_cost,millis
PF,from_datA10_M10_N10_C7.txt,10,10,7,32,1.792
PF,from_datA1_M10_N10_C7.txt,10,10,7,40,2.087
PF,from_datA2_M10_N10_C7.txt,10,10,7,29,1.481
PF,from_datA3_M10_N10_C7.txt,10,10,7,29,1.530
PF,from_datA4_M10_N10_C7.txt,10,10,7,31,1.678
PF,from_datA5_M10_N10_C7.txt,10,10,7,29,1.877
PF,from_datA6_M10_N10_C7.txt,10,10,7,36,1.821
PF,from_datA7_M10_N10_C7.txt,10,10,7,30,1.527
PF,from_datA8_M10_N10_C7.txt,10,10,7,32,1.491
PF,from_datA9_M10_N10_C7.txt,10,10,7,29,2.069
PF,from_datB10_M15_N20_C12.txt,20,15,12,63,8.075
PF,from_datB1_M15_N20_C12.txt,20,15,12,36,5.898
PF,from_datB2_M15_N20_C12.txt,20,15,12,45,9.278
PF,from_datB3_M15_N20_C12.txt,20,15,12,47,8.101
PF,from_datB4_M15_N20_C12.txt,20,15,12,49,6.556
PF,from_datB5_M15_N20_C12.txt,20,15,12,42,7.143
PF,from_datB6_M15_N20_C12.txt,20,15,12,54,8.780
PF,from_datB7_M15_N20_C12.txt,20,15,12,45,5.799
PF,from_datB8_M15_N20_C12.txt,20,15,12,45,8.560
PF,from_datB9_M15_N20_C12.txt,20,15,12,44,6.701
PF,from_datC10_M30_N40_C25.txt,40,30,25,120,161.823
PF,from_datC1_M30_N40_C25.txt,40,30,25,130,196.319
PF,from_datC2_M30_N40_C25.txt,40,30,25,103,203.577
PF,from_datC3_M30_N40_C25.txt,40,30,25,134,164.602
PF,from_datC4_M30_N40_C25.txt,40,30,25,105,183.986
PF,from_datC5_M30_N40_C25.txt,40,30,25,112,167.404
PF,from_datC6_M30_N40_C25.txt,40,30,25,106,200.031
PF,from_datC7_M30_N40_C25.txt,40,30,25,100,172.840
PF,from_datC8_M30_N40_C25.txt,40,30,25,100,162.590
PF,from_datC9_M30_N40_C25.txt,40,30,25,103,172.341
PF,from_datD10_M40_N60_C30.txt,60,40,30,190,711.414
PF,from_datD1_M40_N60_C30.txt,60,40,30,212,695.597
PF,from_datD2_M40_N60_C30.txt,60,40,30,174,515.766
PF,from_datD3_M40_N60_C30.txt,60,40,30,189,624.053
PF,from_datD4_M40_N60_C30.txt,60,40,30,198,646.277
PF,from_datD5_M40_N60_C30.txt,60,40,30,201,606.485
PF,from_datD6_M40_N60_C30.txt,60,40,30,225,775.825
PF,from_datD7_M40_N60_C30.txt,60,40,30,151,644.632
PF,from_datD8_M40_N60_C30.txt,60,40,30,176,584.693
PF,from_datD9_M40_N60_C30.txt,60,40,30,190,696.690
