builder,test,N,M,C,total_cost,millis
LC,from_datA10_M10_N10_C7.txt,10,10,7,32,0.602
LC,from_datA1_M10_N10_C7.txt,10,10,7,40,0.632
LC,from_datA2_M10_N10_C7.txt,10,10,7,29,0.505
LC,from_datA3_M10_N10_C7.txt,10,10,7,29,0.537
LC,from_datA4_M10_N10_C7.txt,10,10,7,31,0.555
LC,from_datA5_M10_N10_C7.txt,10,10,7,29,0.630
LC,from_datA6_M10_N10_C7.txt,10,10,7,36,0.596
LC,from_datA7_M10_N10_C7.txt,10,10,7,30,0.514
LC,from_datA8_M10_N10_C7.txt,10,10,7,32,0.524
LC,from_datA9_M10_N10_C7.txt,10,10,7,29,0.639
LC,from_datB10_M15_N20_C12.txt,20,15,12,63,1.788
LC,from_datB1_M15_N20_C12.txt,20,15,12,36,1.446
LC,from_datB2_M15_N20_C12.txt,20,15,12,45,1.959
LC,from_datB3_M15_N20_C12.txt,20,15,12,47,1.853
LC,from_datB4_M15_N20_C12.txt,20,15,12,49,1.532
LC,from_datB5_M15_N20_C12.txt,20,15,12,42,1.642
LC,from_datB6_M15_N20_C12.txt,20,15,12,54,1.846
LC,from_datB7_M15_N20_C12.txt,20,15,12,45,1.451
LC,from_datB8_M15_N20_C12.txt,20,15,12,45,1.792
LC,from_datB9_M15_N20_C12.txt,20,15,12,44,1.603
LC,from_datC10_M30_N40_C25.txt,40,30,25,120,13.572
LC,from_datC1_M30_N40_C25.txt,40,30,25,130,15.247
LC,from_datC2_M30_N40_C25.txt,40,30,25,103,15.684
LC,from_datC3_M30_N40_C25.txt,40,30,25,134,14.154
LC,from_datC4_M30_N40_C25.txt,40,30,25,105,15.088
LC,from_datC5_M30_N40_C25.txt,40,30,25,112,14.586
LC,from_datC6_M30_N40_C25.txt,40,30,25,106,15.249
LC,from_datC7_M30_N40_C25.txt,40,30,25,100,14.671
LC,from_datC8_M30_N40_C25.txt,40,30,25,100,14.240
LC,from_datC9_M30_N40_C25.txt,40,30,25,103,14.632
LC,from_datD10_M40_N60_C30.txt,60,40,30,190,35.015
LC,from_datD1_M40_N60_C30.txt,60,40,30,212,34.273
LC,from_datD2_M40_N60_C30.txt,60,40,30,174,29.628
LC,from_datD3_M40_N60_C30.txt,60,40,30,189,32.619
LC,from_datD4_M40_N60_C30.txt,60,40,30,198,33.328
LC,from_datD5_M40_N60_C30.txt,60,40,30,201,31.618
LC,from_datD6_M40_N60_C30.txt,60,40,30,225,35.656
LC,from_datD7_M40_N60_C30.txt,60,40,30,151,32.994
LC,from_datD8_M40_N60_C30.txt,60,40,30,176,30.985
LC,from_datD9_M40_N60_C30.txt,60,40,30,190,33.654
